"Rank","Name","Anime","File","Source","Error"
"13","Guts","Berserk","013-guts-422.png","https://s4.anilist.co/file/anilistcdn/character/large/b422-XTaiTuvRohsV.png",""
"14","Frieren","Frieren: Beyond Journey’s End","014-frieren-176754.png","https://s4.anilist.co/file/anilistcdn/character/large/b176754-PCnpqIOkjhFk.png",""
"15","Maomao","The Apothecary Diaries","015-maomao-126824.png","https://s4.anilist.co/file/anilistcdn/character/large/b126824-MqsCncTO1qpv.png",""
"16","Kurisu Makise","Steins;Gate","016-kurisu-makise-34470.png","https://s4.anilist.co/file/anilistcdn/character/large/b34470-Jw2LXZBL5R8i.png",""
"17","Thorfinn Karlsefni","Vinland Saga","017-thorfinn-karlsefni-10138.png","https://s4.anilist.co/file/anilistcdn/character/large/b10138-zOPrka0ddZOR.png",""
"18","Makima","Chainsaw Man","018-makima-137080.png","https://s4.anilist.co/file/anilistcdn/character/large/b137080-UHcynYNjb5ZU.png",""
"19","Itachi Uchiha","Naruto","019-itachi-uchiha-14.png","https://s4.anilist.co/file/anilistcdn/character/large/b14-9Kb1E5oel1ke.png",""
"20","Yuuji Itadori","JUJUTSU KAISEN","020-yuuji-itadori-127212.png","https://s4.anilist.co/file/anilistcdn/character/large/b127212-FVm2tD0erQ5B.png",""
"21","Rintarou Okabe","Steins;Gate","021-rintarou-okabe-35252.png","https://s4.anilist.co/file/anilistcdn/character/large/b35252-DY9TW6pusqeh.png",""
"22","Mai Sakurajima","Rascal Does Not Dream of Bunny Girl Senpai","022-mai-sakurajima-127222.png","https://s4.anilist.co/file/anilistcdn/character/large/b127222-Jh5hhP7vZ7s1.png",""
"23","Denji","Chainsaw Man","023-denji-130102.png","https://s4.anilist.co/file/anilistcdn/character/large/b130102-FO1VHNnEnLlB.png",""
"24","Kurapika","Hunter x Hunter","024-kurapika-28.png","https://s4.anilist.co/file/anilistcdn/character/large/b28-ivA7UGnfE40a.png",""
"25","Shigeo Kageyama","Mob Psycho 100","025-shigeo-kageyama-89616.png","https://s4.anilist.co/file/anilistcdn/character/large/b89616-dXmdOc7L6SDi.png",""
"26","Power","Chainsaw Man","026-power-137079.png","https://s4.anilist.co/file/anilistcdn/character/large/b137079-6yLEUYR3bmpr.png",""
"27","Kakashi Hatake","Naruto","027-kakashi-hatake-85.png","https://s4.anilist.co/file/anilistcdn/character/large/b85-mkVBh2yjxjmx.png",""
"28","Kaguya Shinomiya","Kaguya-sama: Love is War","028-kaguya-shinomiya-120649.png","https://s4.anilist.co/file/anilistcdn/character/large/b120649-NPaWaIpWy60E.png",""
"29","Violet Evergarden","Violet Evergarden","029-violet-evergarden-90169.png","https://s4.anilist.co/file/anilistcdn/character/large/b90169-4wr1Zehnsac8.png",""
"30","Light Yagami","Death Note","030-light-yagami-80.png","https://s4.anilist.co/file/anilistcdn/character/large/b80-26EhwSsSqQ50.png",""
"31","Edward Elric","Fullmetal Alchemist","031-edward-elric-11.jpg","https://s4.anilist.co/file/anilistcdn/character/large/b11-TA5Nuk7EDUZG.jpg",""
"32","Naruto Uzumaki","Naruto","032-naruto-uzumaki-17.png","https://s4.anilist.co/file/anilistcdn/character/large/b17-phjcWCkRuIhu.png",""
"33","Tanjirou Kamado","Demon Slayer: Kimetsu no Yaiba","033-tanjirou-kamado-126071.png","https://s4.anilist.co/file/anilistcdn/character/large/b126071-BTNEc1nRIv68.png",""
"34","Sakura Matou","Fate/stay night","034-sakura-matou-500.png","https://s4.anilist.co/file/anilistcdn/character/large/b500-NQrLbnBr1sDv.png",""
"35","Megumi Fushiguro","JUJUTSU KAISEN","035-megumi-fushiguro-126635.png","https://s4.anilist.co/file/anilistcdn/character/large/b126635-L0y3I92JSUkN.png",""
"36","Marin Kitagawa","My Dress-Up Darling","036-marin-kitagawa-133676.png","https://s4.anilist.co/file/anilistcdn/character/large/b133676-kV2czE3C8Qls.png",""
"37","Joseph Joestar","JoJo's Bizarre Adventure (2000)","037-joseph-joestar-6356.png","https://s4.anilist.co/file/anilistcdn/character/large/b6356-RImEfUfHpC58.png",""
"38","Shouto Todoroki","My Hero Academia","038-shouto-todoroki-89220.png","https://s4.anilist.co/file/anilistcdn/character/large/b89220-KNBwaVFAR8FD.png",""
"39","Megumin","KONOSUBA -God's blessing on this wonderful world!","039-megumin-89361.png","https://s4.anilist.co/file/anilistcdn/character/large/b89361-tq8PQQ4MmF0M.png",""
"40","Askeladd","Vinland Saga","040-askeladd-13020.png","https://s4.anilist.co/file/anilistcdn/character/large/b13020-ZdiYlNmpRUNS.png",""
"41","Osamu Dazai","Bungo Stray Dogs","041-osamu-dazai-89198.png","https://s4.anilist.co/file/anilistcdn/character/large/b89198-qKmRTw4Y3PRC.png",""
"42","Rem","Re:ZERO -Starting Life in Another World-","042-rem-88575.png","https://s4.anilist.co/file/anilistcdn/character/large/b88575-Ayu8UPDA8NS6.png",""
"43","Katsuki Bakugou","My Hero Academia","043-katsuki-bakugou-88892.png","https://s4.anilist.co/file/anilistcdn/character/large/b88892-bdOha3lNcaN6.png",""
"44","Chika Fujiwara","Kaguya-sama: Love is War","044-chika-fujiwara-121103.png","https://s4.anilist.co/file/anilistcdn/character/large/b121103-UGLxT8utLPnq.png",""
"45","Gintoki Sakata","Gintama","045-gintoki-sakata-672.png","https://s4.anilist.co/file/anilistcdn/character/large/b672-cP5VPriN67xJ.png",""
"46","Itsuki Nakano","The Quintessential Quintuplets","046-itsuki-nakano-126375.png","https://s4.anilist.co/file/anilistcdn/character/large/b126375-dEe9IyQ9By09.png",""
"47","Kiyotaka Ayanokouji","Classroom of the Elite","047-kiyotaka-ayanokouji-123212.png","https://s4.anilist.co/file/anilistcdn/character/large/b123212-ewZgUQr9vvEM.png",""
"48","Ichigo","DARLING in the FRANXX","048-ichigo-124382.png","https://s4.anilist.co/file/anilistcdn/character/large/b124382-bSBkjtYjJQtr.png",""
"49","Senkuu Ishigami","Dr. STONE","049-senkuu-ishigami-124142.png","https://s4.anilist.co/file/anilistcdn/character/large/b124142-XUO1g7wRqkaT.png",""
"50","Subaru Natsuki","Re:ZERO -Starting Life in Another World-","050-subaru-natsuki-88573.png","https://s4.anilist.co/file/anilistcdn/character/large/b88573-F8yMTK9GhnTA.png",""
"51","Gon Freecss","Hunter x Hunter","051-gon-freecss-30.jpg","https://s4.anilist.co/file/anilistcdn/character/large/b30-lyFExKyDhefc.jpg",""
"52","Jin-U Seong","Solo Leveling","052-jin-u-seong-129928.png","https://s4.anilist.co/file/anilistcdn/character/large/b129928-BCEjVaP0AQSw.png",""
"53","Sanji","ONE PIECE","053-sanji-305.png","https://s4.anilist.co/file/anilistcdn/character/large/b305-6lisPmHtCnLT.png",""
"54","Miko Iino","Kaguya-sama: Love is War","054-miko-iino-125886.png","https://s4.anilist.co/file/anilistcdn/character/large/b125886-TQbmqAaSgBLS.png",""
"55","Saitama","One-Punch Man","055-saitama-73935.jpg","https://s4.anilist.co/file/anilistcdn/character/large/b73935-ON5d0mAcrItd.jpg",""
"56","Robin Nico","ONE PIECE","056-robin-nico-61.png","https://s4.anilist.co/file/anilistcdn/character/large/b61-ywXUyyocEEqt.png",""
"57","Izumi Miyamura","Hori-san to Miyamura-kun","057-izumi-miyamura-66173.png","https://s4.anilist.co/file/anilistcdn/character/large/b66173-g8eU1LGWPB8O.png",""
"58","Hitagi Senjougahara","Bakemonogatari","058-hitagi-senjougahara-22037.jpg","https://s4.anilist.co/file/anilistcdn/character/large/b22037-sY7GWSKYr2Nl.jpg",""
"59","Aki Hayakawa","Chainsaw Man","059-aki-hayakawa-137081.png","https://s4.anilist.co/file/anilistcdn/character/large/b137081-TSrUR3mUJL6r.png",""
"60","Kusuo Saiki","Saiki Kusuo no Ψ-nan (ONA)","060-kusuo-saiki-90107.png","https://s4.anilist.co/file/anilistcdn/character/large/b90107-ZULW5HlPX1uU.png",""
"61","Zero Two","DARLING in the FRANXX","061-zero-two-124381.png","https://s4.anilist.co/file/anilistcdn/character/large/b124381-2gAVq76HPfL2.png",""
"62","Yuu Ishigami","Kaguya-sama: Love is War","062-yuu-ishigami-121102.png","https://s4.anilist.co/file/anilistcdn/character/large/b121102-tiQFxnSEIAwm.png",""
"63","Asuka Langley Souryuu","Neon Genesis Evangelion","063-asuka-langley-souryuu-94.png","https://s4.anilist.co/file/anilistcdn/character/large/b94-d631a3Z2KPvd.png",""
"64","Inosuke Hashibira","Demon Slayer: Kimetsu no Yaiba","064-inosuke-hashibira-129130.jpg","https://s4.anilist.co/file/anilistcdn/character/large/n129130-SJC0Kn1DU39E.jpg",""
"65","Shouyou Hinata","HAIKYU!!","065-shouyou-hinata-64769.png","https://s4.anilist.co/file/anilistcdn/character/large/b64769-WoWlCMLLgJ14.png",""
"66","Nezuko Kamado","Demon Slayer: Kimetsu no Yaiba","066-nezuko-kamado-127518.png","https://s4.anilist.co/file/anilistcdn/character/large/b127518-NRlq1CQ1v1ro.png",""
"67","Ichigo Kurosaki","Bleach","067-ichigo-kurosaki-5.png","https://s4.anilist.co/file/anilistcdn/character/large/b5-a7bkJgjhhigE.png",""
"68","Roy Mustang","Fullmetal Alchemist","068-roy-mustang-68.png","https://s4.anilist.co/file/anilistcdn/character/large/b68-moBLY2WO2am3.png",""
"69","Yor Forger","SPY x FAMILY","069-yor-forger-138102.png","https://s4.anilist.co/file/anilistcdn/character/large/b138102-ZOAu9jI2d5ke.png",""
"70","Spike Spiegel","Cowboy Bebop","070-spike-spiegel-1.png","https://s4.anilist.co/file/anilistcdn/character/large/b1-ChxaldmieFlQ.png",""
"71","Joutarou Kuujou","JoJo's Bizarre Adventure (2000)","071-joutarou-kuujou-4003.png","https://s4.anilist.co/file/anilistcdn/character/large/b4003-gWDSEGbeOAll.png",""
"72","Hisoka Morow","Hunter x Hunter","072-hisoka-morow-31.png","https://s4.anilist.co/file/anilistcdn/character/large/b31-FZckOuu7L1un.png",""
"73","Armin Arlert","Attack on Titan","073-armin-arlert-46494.png","https://s4.anilist.co/file/anilistcdn/character/large/b46494-g7xYYuBtYPnO.png",""
"74","Izuku Midoriya","My Hero Academia","074-izuku-midoriya-89028.png","https://s4.anilist.co/file/anilistcdn/character/large/b89028-8w1I9o1ISHMg.png",""
"75","Shinobu Oshino","Bakemonogatari","075-shinobu-oshino-23602.png","https://s4.anilist.co/file/anilistcdn/character/large/b23602-Z4MDNYcoAWZu.png",""
"76","Hange Zoe","Attack on Titan","076-hange-zoe-71121.png","https://s4.anilist.co/file/anilistcdn/character/large/b71121-7R7CnQd3lHgt.png",""
"77","Rimuru Tempest","That Time I Got Reincarnated as a Slime","077-rimuru-tempest-123962.png","https://s4.anilist.co/file/anilistcdn/character/large/b123962-eL9yGV0NLMF7.png",""
"78","Zenitsu Agatsuma","Demon Slayer: Kimetsu no Yaiba","078-zenitsu-agatsuma-129131.png","https://s4.anilist.co/file/anilistcdn/character/large/b129131-FZrQ7lSlxmEr.png",""
"79","Kento Nanami","JUJUTSU KAISEN","079-kento-nanami-133704.png","https://s4.anilist.co/file/anilistcdn/character/large/b133704-8wLTGjc234q2.png",""
"80","Nobara Kugisaki","JUJUTSU KAISEN","080-nobara-kugisaki-133700.png","https://s4.anilist.co/file/anilistcdn/character/large/b133700-f6sOO3TcgLV6.png",""
"81","Anya Forger","SPY x FAMILY","081-anya-forger-138100.png","https://s4.anilist.co/file/anilistcdn/character/large/b138100-4Li0tWRCa5bQ.png",""
"82","Maki Zenin","JUJUTSU KAISEN","082-maki-zenin-134167.png","https://s4.anilist.co/file/anilistcdn/character/large/b134167-5TCytk45YByD.png",""
"83","Sasuke Uchiha","Naruto","083-sasuke-uchiha-13.png","https://s4.anilist.co/file/anilistcdn/character/large/b13-SISLEw1oAD7a.png",""
"84","Erwin Smith","Attack on Titan","084-erwin-smith-46496.png","https://s4.anilist.co/file/anilistcdn/character/large/b46496-Mu86MENd5wNB.png",""
"85","Yato","Noragami","085-yato-84677.png","https://s4.anilist.co/file/anilistcdn/character/large/b84677-PFmohzIXD1ud.png",""
"86","Rin Toosaka","Fate/stay night","086-rin-toosaka-498.png","https://s4.anilist.co/file/anilistcdn/character/large/b498-lwawtSpLyATL.png",""
"87","Hachiman Hikigaya","My Teen Romantic Comedy SNAFU","087-hachiman-hikigaya-67065.png","https://s4.anilist.co/file/anilistcdn/character/large/b67065-Dhec6tE2yWA9.png",""
"88","Koyomi Araragi","Bakemonogatari","088-koyomi-araragi-22036.png","https://s4.anilist.co/file/anilistcdn/character/large/b22036-Ed3CjwPlDLp4.png",""
"89","Tobio Kageyama","HAIKYU!!","089-tobio-kageyama-64771.png","https://s4.anilist.co/file/anilistcdn/character/large/b64771-BuCVs7B8bBdh.png",""
"90","Giyuu Tomioka","Demon Slayer: Kimetsu no Yaiba","090-giyuu-tomioka-130050.png","https://s4.anilist.co/file/anilistcdn/character/large/b130050-qsLThJs5VIbz.png",""
"91","Hitori Gotou","Slow Loop","091-hitori-gotou-257562.png","https://s4.anilist.co/file/anilistcdn/character/large/b257562-Ru35NYPfsqhY.png",""
"92","Homura Akemi","Puella Magi Madoka Magica","092-homura-akemi-38005.jpg","https://s4.anilist.co/file/anilistcdn/character/large/b38005-T3NR8p2f021x.jpg",""
"93","Artoria Pendragon","Fate/stay night","093-artoria-pendragon-497.png","https://s4.anilist.co/file/anilistcdn/character/large/b497-Yg5pNmC8kxzs.png",""
"94","Miku Nakano","The Quintessential Quintuplets","094-miku-nakano-126373.png","https://s4.anilist.co/file/anilistcdn/character/large/b126373-CWeyXb822uDN.png",""
"95","Sukuna","JUJUTSU KAISEN","095-sukuna-133701.png","https://s4.anilist.co/file/anilistcdn/character/large/b133701-rCQuDpHr3UZL.png",""
"96","Kyouko Hori","Hori-san to Miyamura-kun","096-kyouko-hori-66171.png","https://s4.anilist.co/file/anilistcdn/character/large/b66171-o2vk3689wWFK.png",""
"97","Kana Arima","OSHI NO KO","097-kana-arima-188783.png","https://s4.anilist.co/file/anilistcdn/character/large/b188783-77orwP7vNuNg.png",""
"98","Yuuta Okkotsu","JUJUTSU KAISEN","098-yuuta-okkotsu-129571.jpg","https://s4.anilist.co/file/anilistcdn/character/large/b129571-GHJk7gviHOOw.jpg",""
"99","Shouko Nishimiya","A Silent Voice","099-shouko-nishimiya-80243.png","https://s4.anilist.co/file/anilistcdn/character/large/b80243-RzxE51iUU5eq.png",""
"100","Roxy Migurdia","Mushoku Tensei: Jobless Reincarnation","100-roxy-migurdia-88350.png","https://s4.anilist.co/file/anilistcdn/character/large/b88350-QU1iwgZ887U8.png",""
